WKT,municipality,source_class,source_class_secondary,canbics_class,surface_type,width_m,length_km,length
"MULTILINESTRING Z ((-123.144155098913 49.2306825103859 0,-123.144859725961 49.2306930520295 0,-123.144859764444 49.2306930600769 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0513,51.2910602599762
"MULTILINESTRING Z ((-123.147348555376 49.230731689966 0,-123.147818361004 49.2307388040987 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0342,34.1962096234332
"MULTILINESTRING Z ((-123.139311257481 49.2305986716661 0,-123.139717271456 49.230613948212 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0296,29.5938595560952
"MULTILINESTRING Z ((-123.148606169918 49.2307509803928 0,-123.149365023966 49.2307628919123 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0553,55.2365353008775
"MULTILINESTRING Z ((-123.186179832657 49.230925671122 0,-123.186911167114 49.2311873586732 0))",Vancouver,painted lanes,paint_buffer_traffic,painted_bike_lane,paved,,0.0607,60.6434531865418
"MULTILINESTRING Z ((-123.193750463086 49.2337147865363 0,-123.195230818125 49.2342431664633 0))",Vancouver,painted lanes,paint_buffer_traffic,painted_bike_lane,paved,,0.1227,122.676079297851
"MULTILINESTRING Z ((-123.044076412162 49.2812081969716 0,-123.043609372796 49.2813530543935 0,-123.042922680282 49.2815208619596 0,-123.042457118494 49.2816276564775 0,-123.042387133338 49.2814677479417 0,-123.042212416193 49.2813535731621 0,-123.041676883282 49.2813156873781 0,-123.041525552664 49.2813233580763 0,-123.041153171734 49.2814910417462 0,-123.039884154643 49.2813544002468 0,-123.039267135499 49.281316531392 0,-123.039255572353 49.281415542527 0,-123.03902274549 49.281415621389 0,-123.038720143769 49.2815071141725 0,-123.038534024625 49.2816899592619 0,-123.039012072348 49.2826417897051 0,-123.038616370957 49.2827866252888 0,-123.0385350928 49.2830608262187 0,-123.03852362864 49.2832893074451 0,-123.038605216393 49.2834111351278 0))",Vancouver,protected bike lanes,off_street_shared_with_pedestrians,multi_use_path,paved,,0.6772,676.727549380139
"MULTILINESTRING Z ((-123.145124616319 49.3037508225249 0,-123.145155120748 49.3037511530151 0,-123.145252241077 49.3037522066526 0,-123.145533577925 49.3037552582649 0,-123.14569057024 49.3036750927144 0,-123.145987422502 49.3036290227603 0))",Vancouver,protected bike lanes,off_street_shared_with_pedestrians,multi_use_path,unpaved,,0.0664,66.3433205081213
"MULTILINESTRING Z ((-123.145419516692 49.2727541899991 0,-123.14542568937 49.272591982695 0,-123.145432011288 49.2724258424992 0))",Vancouver,protected bike lanes,raised_on_street,cycle_track,paved,,0.0365,36.4902325574812
"MULTILINESTRING Z ((-123.128160959366 49.2784201079501 0,-123.128916537168 49.2779203126619 0,-123.129755128241 49.2773655611574 0))",Vancouver,protected bike lanes,street_level_on_street,cycle_track,paved,,0.1649,164.779852471201
"MULTILINESTRING Z ((-123.124974243572 49.2805280402476 0,-123.125632030831 49.2800929766528 0))",Vancouver,protected bike lanes,street_level_on_street,cycle_track,paved,,0.068,67.9842576226874
"MULTILINESTRING Z ((-123.073074579201 49.2271514343256 0,-123.073765615832 49.2271588947618 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0503,50.2968836699322
"MULTILINESTRING Z ((-123.0772113715 49.2276630204975 0,-123.077886262122 49.2276719386998 0,-123.077901816937 49.227672144997 0,-123.077901854036 49.2276721548668 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0503,50.2595518271425
"MULTILINESTRING Z ((-123.107619793983 49.2786475684931 0,-123.107624501724 49.278648901692 0,-123.10764246219 49.2786541426462 0,-123.10764662108 49.2786553495234 0,-123.107653106131 49.2786571254274 0,-123.107668969292 49.2786614508228 0,-123.107686668653 49.2786661118242 0,-123.107691442217 49.2786673649019 0,-123.107714107025 49.2786730008466 0,-123.107736915651 49.2786783847876 0,-123.107759828165 49.2786834897766 0,-123.107782852836 49.2786883248009 0,-123.107806098273 49.2786928870607 0,-123.107829355506 49.2786971821478 0,-123.107829405021 49.2786971910968 0,-123.107852829417 49.2787012215648 0,-123.10786029629 49.2787024325428 0,-123.107876305632 49.2787050549853 0,-123.1078999983 49.2787085301905 0,-123.107923704185 49.2787117598101 0,-123.107947523559 49.278714701473 0,-123.107971338231 49.278717376878 0,-123.107982118387 49.2787185019964 0,-123.107995263879 49.2787198731701 0,-123.108019304232 49.2787220086433 0,-123.108043342625 49.2787238751574 0,-123.10806749317 49.2787254717061 0,-123.108091644499 49.2787267974941 0,-123.108115795242 49.2787278543216 0,-123.108127661225 49.2787281967291 0,-123.108164197892 49.2787290737455 0,-123.108212616032 49.2787292029187 0,-123.108232391818 49.278728964015 0,-123.108236864183 49.2787289058547 0,-123.108241373542 49.2787287891908 0,-123.108261023573 49.2787282580566 0,-123.108275163175 49.278727772561 0,-123.1083094205 49.2787262346619 0,-123.108351146416 49.2787235473614 0,-123.108357604701 49.278723131125 0,-123.108381634631 49.2787211296482 0,-123.108405663969 49.278718859211 0,-123.108429579974 49.2787163190196 0,-123.108453381268 49.278713508176 0,-123.108477181969 49.2787104283721 0,-123.108500869335 49.2787070788142 0,-123.108524441989 49.2787034586043 0,-123.108547901309 49.27869956954 0,-123.108571247293 49.278695410722 0,-123.108594591306 49.2786909820456 0,-123.108617709241 49.2786862837215 0,-123.108640700074 49.2786813075612 0,-123.10866358448 49.2786760787318 0,-123.108667375761 49.2786751612558 0,-123.108686263412 49.2786705712404 0,-123.108706659458 49.2786654256996 0,-123.108721863698 49.2786614157347 0))",Vancouver,painted lanes,no_buffer,painted_bike_lane,paved,,0.0824,82.3894302121912
"MULTILINESTRING Z ((-123.123351731752 49.2305004681857 0,-123.123351574564 49.2304825713871 0,-123.123352073513 49.2304556804282 0,-123.123352181022 49.2304530716884 0,-123.123383066873 49.229551426769 0,-123.123397382861 49.2291338685817 0))",Vancouver,local street,,local_street_bikeway,paved,,0.152,151.888143125663
"MULTILINESTRING Z ((-123.11619222457 49.2335434689102 0,-123.116192219014 49.2335434428296 0,-123.116212461112 49.2330622465508 0))",Vancouver,painted lanes,no_buffer,painted_bike_lane,paved,,0.0535,53.491064879708
"MULTILINESTRING Z ((-123.061810309682 49.273435770607 0,-123.061807258697 49.2735993605446 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0182,18.1758943154933
"MULTILINESTRING Z ((-123.061882678869 49.26980054543 0,-123.061878891669 49.2699917241289 0,-123.06187889171 49.2699917565116 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0213,21.2452638453161
"MULTILINESTRING Z ((-123.115299389427 49.2679279889889 0,-123.117495265809 49.2668346923343 0,-123.11788708107 49.2670166880309 0))",Vancouver,local street,,local_street_bikeway,paved,,0.2357,235.538058939241
"MULTILINESTRING Z ((-123.12294266067 49.2736302115062 0,-123.122698642609 49.2736922084793 0,-123.121378019106 49.2740276172116 0))",Vancouver,painted lanes,no_buffer,painted_bike_lane,paved,,0.1221,122.007580722969
"MULTILINESTRING Z ((-123.12862748857 49.2918657465003 0,-123.128627536631 49.2918657185619 0,-123.12874071848 49.2917908535145 0,-123.129288763093 49.291428359036 0,-123.129288793303 49.2914283419114 0))",Vancouver,shared lanes,,shared_roadway,paved,,0.0684,68.33833236258
"MULTILINESTRING Z ((-123.131106283684 49.288676518757 0,-123.131106312512 49.2886764998345 0,-123.131634718637 49.2883267579545 0,-123.131638062595 49.2883245395347 0))",Vancouver,local street,,local_street_bikeway,paved,,0.055,54.975139769023
